Name,SO%,1B%,2B%,3B%,HR%
Kris Bryant,0.583747927,0.288557214,0.058043118,0.004975124,0.064676617
Bryce Harper,0.543478261,0.35770751,0.04743083,0.003952569,0.04743083
Mookie Betts,0.608630952,0.275297619,0.0625,0.007440476,0.046130952
Jose Bautista,0.560283688,0.328605201,0.056737589,0.002364066,0.052009456
Jose Altuve,0.56875,0.3203125,0.065625,0.0078125,0.0375
Paul Goldschmidt,0.512953368,0.3203125,0.056994819,0.005181347,0.041450777
Xander Bogaerts,0.616564417,0.297546012,0.052147239,0.001533742,0.032208589
Joey Votto,0.480215827,0.402877698,0.061151079,0.003597122,0.052158273
DJ LeMahieu,0.532608696,0.375,0.057971014,0.014492754,0.019927536
Buster Posey,0.593692022,0.315398887,0.06122449,0.003710575,0.025974026
Manny Machado,0.63125,0.246875,0.0625,0.0015625,0.0578125
David Ortiz,0.536312849,0.301675978,0.089385475,0.001862197,0.070763501
Francisco Lindor,0.604304636,0.316225166,0.049668874,0.004966887,0.024834437
Troy Tulowitzki,0.658536585,0.25,0.042682927,0,0.048780488
Hanley Ramirez,0.604735883,0.287795993,0.051001821,0.001821494,0.054644809
Mike Trout,0.473588342,0.406193078,0.058287796,0.009107468,0.052823315
Yunel Escobar,0.618955513,0.315280464,0.054158607,0.001934236,0.00967118
